Pclass,Age,SibSp,Parch,Fare,Sex_male,Survived
3,34.5,0,0,7.8292,1,0
3,47.0,1,0,7.0,0,1
2,62.0,0,0,9.6875,1,0
3,27.0,0,0,8.6625,1,0
3,22.0,1,1,12.2875,0,1
3,14.0,0,0,9.225,1,0
3,30.0,0,0,7.6292,0,1
2,26.0,1,1,29.0,1,0
3,18.0,0,0,7.2292,0,1
3,21.0,2,0,24.15,1,0
3,24.895408906307978,0,0,7.8958,1,0
1,46.0,0,0,26.0,1,0
1,23.0,1,0,82.2667,0,1
2,63.0,1,0,26.0,1,0
1,47.0,1,0,61.175,0,1
2,24.0,1,0,27.7208,0,1
2,35.0,0,0,12.35,1,0
3,21.0,0,0,7.225,1,0
3,27.0,1,0,7.925,0,1
3,45.0,0,0,7.225,0,1
1,55.0,1,0,59.4,1,0
3,9.0,0,1,3.1708,1,0
1,38.28808210792201,0,0,31.6833,0,1
1,21.0,0,1,61.3792,1,0
1,48.0,1,3,262.375,0,1
3,50.0,1,0,14.5,1,0
1,22.0,0,1,61.9792,0,1
3,22.5,0,0,7.225,1,0
1,41.0,0,0,30.5,1,0
3,22.447194371972998,2,0,21.6792,1,0
2,50.0,1,0,26.0,1,0
2,24.0,2,0,31.5,1,0
3,33.0,1,2,20.575,0,1
3,20.379613919240732,1,2,23.45,0,1
1,30.0,1,0,57.75,1,0
3,18.5,0,0,7.2292,1,0
3,23.179203857969902,0,0,8.05,0,1
3,21.0,0,0,8.6625,0,1
3,25.0,0,0,9.5,1,0
3,26.19241619179281,0,0,56.4958,1,0
3,39.0,0,1,13.4167,1,0
1,39.871407959240386,0,0,26.55,1,0
3,41.0,0,0,7.85,1,0
2,30.0,0,0,13.0,0,1
1,45.0,1,0,52.5542,0,1
3,25.0,0,0,7.925,1,0
1,45.0,0,0,29.7,1,0
3,24.891517884451524,0,0,7.75,1,0
1,60.0,0,0,76.2917,0,1
3,36.0,0,2,15.9,0,1
1,24.0,1,0,60.0,1,0
2,27.0,0,0,15.0333,1,0
2,20.0,2,1,23.0,0,1
1,28.0,3,2,263.0,0,1
2,32.33954236538423,0,0,15.5792,1,0
3,10.0,4,1,29.125,1,0
3,35.0,0,0,7.8958,1,0
3,25.0,0,0,7.65,1,0
